Qty, Description                                         , Link
52 , M3 x 10mm-12mm Hexagon Socket Countersunk Head Screw, https://geni.us/bYhU
20 , M3 x 10mm Hexagon Socket Head Cap Screw             , https://geni.us/5N61va
72 , M3 Heat Set Inserts                                 , https://geni.us/PdB8mWk
6  , M6 Fully Threaded Rods                              , https://geni.us/T6Quy
12 , M6 Hex Nuts                                         , https://geni.us/BPGwNiY
29 , M6 Nylon Washers (1.2 mm Thickness)                 , https://geni.us/38l20a
